ATR,Entry_Window,Exit_Window,Sharpe,Net_Profit,Drawdown,Trades,WinRate
2.5,35,20,1.0616194118844862,3639.8239419801575,43.785714883678295,16,37.5
2.5,25,10,1.0581633137220736,3731.9410502991855,46.43263091482269,20,50.0
2.5,35,10,1.0462073040227218,3462.77794609996,42.67698626025572,18,50.0
2.5,40,20,1.0392324228959307,3458.8033895970602,43.7857148836783,16,37.5
2.5,35,15,1.0386117731091622,3558.1028978477434,43.785714883678295,17,41.17647058823529
2.75,35,20,1.030539134221386,3787.4290369198566,25.464954023446225,14,42.857142857142854
2.5,40,10,1.0235618947269134,3288.664760110978,42.676986260255724,18,50.0
2.5,40,15,1.016572486826198,3380.2706536278774,43.7857148836783,17,41.17647058823529
2.5,30,10,1.0116469568854016,3235.4736282093013,42.676986260255724,19,47.368421052631575
2.75,40,20,1.0095904437413898,3600.640094185883,25.464954023446225,14,42.857142857142854
2.5,25,20,0.9944497498224286,3288.725121397297,51.01163968135762,18,38.88888888888889
2.5,25,15,0.9906137752157308,3351.675001404821,51.01163968135759,19,42.10526315789473
2.5,30,20,0.985275583095187,3108.64453094095,43.78571488367831,17,35.294117647058826
2.5,30,15,0.9839903057573299,3176.8049976341235,43.78571488367829,18,38.88888888888889
2.75,25,20,0.9706622190972165,3425.172546377778,35.04570330010503,16,43.75
2.75,30,20,0.9601936263230479,3239.351401211592,25.46495402344623,15,40.0
3.0,35,20,0.9551964274296201,3187.5292747780604,29.80084425095555,14,42.857142857142854
3.0,40,20,0.9342903387229378,3024.146348394968,29.800844250955556,14,42.857142857142854
1.75,25,10,0.9296873828446522,2576.6541181730345,42.44681232310698,24,45.83333333333333
1.5,25,10,0.9292425238178437,2452.111401978905,37.14532194871564,25,44.0
1.5,25,15,0.918879377211601,2402.0433070642543,37.145321948715626,25,44.0
1.5,25,20,0.918879377211601,2402.0433070642543,37.145321948715626,25,44.0
2.5,25,5,0.9049542274286605,2496.407510206624,49.94810183802825,24,45.83333333333333
2.75,35,15,0.9015354818740001,2787.542495087698,39.97487614259108,16,43.75
2.0,25,10,0.8999068635963938,2471.300780546395,46.43263091482266,23,47.82608695652174
3.0,25,20,0.897818761585051,2870.666163612386,38.82425735619843,16,43.75
1.5,25,5,0.8909402185702064,2224.7871540533242,43.206068026069445,26,42.30769230769231
1.75,25,15,0.8890189611168857,2364.7661180802056,42.44681232310696,24,45.83333333333333
1.75,35,10,0.8886550900991135,2232.6341484956065,38.41149078797807,22,45.45454545454545
3.0,30,20,0.8858492283350513,2708.1297627058925,29.800844250955542,15,40.0
2.75,25,10,0.8853826628913491,2645.682848964272,50.60623081087001,20,50.0
1.5,35,10,0.8852010513243587,2094.97787783033,32.73828827843686,23,43.47826086956522
1.5,35,15,0.8852010513243587,2094.97787783033,32.73828827843686,23,43.47826086956522
1.5,35,20,0.8852010513243587,2094.97787783033,32.73828827843686,23,43.47826086956522
2.75,20,20,0.8845896125719525,3027.7824077096266,38.54857383098719,19,36.84210526315789
2.75,40,15,0.8805565852753034,2639.7656710843494,39.97487614259107,16,43.75
1.75,35,15,0.8696654354596467,2149.7140225669136,38.41149078797807,22,45.45454545454545
1.75,25,20,0.8687027185641862,2256.8507897845047,42.44681232310696,24,45.83333333333333
2.75,35,10,0.867758723942069,2438.3084750821095,47.14320008167556,18,50.0
1.75,30,10,0.8670140881919461,2141.1808065213795,38.41149078797807,23,43.47826086956522
3.0,25,10,0.8661256463794907,2524.5374870600785,52.2475765592884,20,50.0
1.75,40,10,0.8645480998870744,2106.4525481141486,38.41149078797807,22,45.45454545454545
2.25,25,10,0.8633901516916828,2271.087694258691,46.43263091482267,23,47.82608695652174
