datetime,open,high,low,close,volume,returns,log_returns,EMA10,EMA20,EMA50,EMA100,EMA200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,ADX,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_WIDTH,DONCHIAN_HIGH,DONCHIAN_LOW,DONCHIAN_EXIT_HIGH,DONCHIAN_EXIT_LOW,VOL_SMA20,REL_VOL,VOLATILITY20,signals,trade_type
2018-01-01 05:30:00,13715.65,13818.55,12750.0,13380.0,8609.915844,0.09679446935724978,0.09239180672704118,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-02 05:30:00,13382.16,15473.49,12890.02,14675.11,20078.092111,0.09679446935724978,0.09239180672704118,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-03 05:30:00,14690.0,15307.56,14150.0,14919.51,15905.667639,0.01665404893046807,0.01651689098613066,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-04 05:30:00,14919.51,15280.0,13918.04,15059.54,21329.649574,0.009385696983345904,0.00934192500328923,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-05 05:30:00,15059.56,17176.24,14600.0,16960.39,23251.491125,0.1262223148914241,0.11886894796584493,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-06 05:30:00,16960.39,17143.13,16011.21,17069.79,18571.457508,0.0064503233711017405,0.006429609063577102,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-07 05:30:00,17069.79,17099.96,15610.0,16150.03,12493.125558,-0.05388232661327408,-0.05538832719388593,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-08 05:30:00,16218.85,16322.3,12812.0,14902.54,26600.609912,-0.0772438193613263,-0.08039023903033347,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-09 05:30:00,14902.54,15500.0,14011.05,14400.0,14315.004253,-0.03372176823548201,-0.034303461639791186,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
2018-01-10 05:30:00,14401.0,14955.66,13131.31,14907.09,17411.001655,0.03521458333333327,0.03460873212019189,15242.4,13887.6695,11399.392600000003,10095.922400000003,8857.358000000004,50.775895945624704,-1482.8104189974383,-1509.9952396733897,27.184820675951414,1860.6799999999998,39.01236332405632,17467.18919399513,13887.6695,10308.149806004867,0.5154960944304057,17176.24,6000.01,17176.24,9035.0,25976.25163175,1.1075061265512487,0.07875876891293002,0,HOLD
